,ID,Sex,Marital status,Age,Education,Income,Occupation,Settlement size,Cluster
196,100000197,1,1,28,1,102697,1,0,0
197,100000198,1,1,27,1,120262,1,0,0
198,100000199,0,0,36,1,124214,1,2,0
199,100000200,0,1,40,1,175223,2,1,2
200,100000201,0,0,52,1,137467,1,0,0
201,100000202,0,1,27,1,65815,0,0,3
202,100000203,0,0,26,0,129864,1,1,0
203,100000204,0,1,21,1,88475,1,1,0
204,100000205,0,0,38,1,74666,0,0,3
205,100000206,0,0,38,1,222294,2,2,1
206,100000207,0,0,43,1,112878,1,0,0
207,100000208,0,0,26,0,103411,1,2,0
208,100000209,0,1,21,1,112868,0,0,3
209,100000210,0,0,55,1,157940,1,2,0
210,100000211,0,0,33,1,115835,1,2,0
211,100000212,1,1,45,2,109807,0,0,3
212,100000213,0,0,50,1,150699,1,1,0
213,100000214,0,0,66,2,178967,2,0,1
214,100000215,0,0,51,1,132767,1,0,0
215,100000216,1,1,39,2,86152,0,0,3
216,100000217,0,0,31,0,114528,1,2,0
217,100000218,0,0,23,0,133912,1,1,0
218,100000219,0,1,24,1,81210,0,0,3
219,100000220,1,1,64,3,131242,1,0,0
220,100000221,0,1,26,1,68804,0,0,3
221,100000222,1,1,23,1,96961,1,1,0
222,100000223,0,0,30,0,90719,1,2,0
223,100000224,0,0,32,0,114116,1,1,0
224,100000225,0,0,30,0,128639,1,1,0
225,100000226,0,0,27,0,106623,1,1,0
226,100000227,0,0,27,0,236264,1,1,2
227,100000228,0,0,53,1,207783,2,1,1
228,100000229,0,0,22,0,91739,1,1,0
229,100000230,0,0,22,0,107780,1,2,0
230,100000231,0,0,26,0,139157,1,2,0
231,100000232,0,0,51,1,121751,0,0,3
232,100000233,0,0,35,1,121974,1,0,0
233,100000234,0,1,25,1,70320,0,0,3
234,100000235,0,0,42,1,78327,0,0,3
235,100000236,0,0,30,0,131433,2,0,1
236,100000237,0,0,23,0,167076,0,2,2
237,100000238,0,1,61,2,130788,0,0,3
238,100000239,1,1,35,1,107408,1,1,0
239,100000240,0,0,39,1,115323,1,1,0
240,100000241,1,1,29,1,99012,1,0,0
241,100000242,0,0,51,1,115996,1,1,0
242,100000243,0,0,24,0,123353,1,1,0
243,100000244,1,1,27,1,100008,1,0,0
244,100000245,1,1,35,1,125105,0,0,3
245,100000246,0,0,25,0,92020,1,2,0
246,100000247,0,0,52,1,108365,1,2,0
247,100000248,0,0,35,1,112979,1,0,0
248,100000249,0,0,26,0,117221,1,1,0
249,100000250,1,1,22,1,88800,1,2,0
250,100000251,1,1,39,2,115099,0,0,3
251,100000252,1,1,46,2,113399,0,0,3
252,100000253,1,1,24,1,115879,1,1,0
253,100000254,0,0,35,1,141270,1,2,0
254,100000255,0,0,24,0,107633,1,1,0
255,100000256,0,0,27,0,131751,0,0,3
256,100000257,0,0,35,1,83687,0,0,3
257,100000258,0,1,29,1,106828,1,2,0
258,100000259,1,1,23,1,135537,1,1,0
259,100000260,1,1,57,2,107142,0,0,3
260,100000261,0,0,27,0,97446,1,1,0
261,100000262,1,1,55,2,126357,1,2,0
262,100000263,0,0,36,1,169617,2,1,1
263,100000264,1,1,57,2,108945,0,0,3
264,100000265,0,0,32,0,67345,0,0,3
265,100000266,0,0,37,1,106215,1,0,0
266,100000267,0,0,36,1,149237,1,0,0
267,100000268,1,1,38,1,112124,1,0,0
268,100000269,0,1,45,2,215150,2,2,2
269,100000270,0,0,25,0,89534,1,1,0
270,100000271,0,0,32,0,111082,1,2,0
271,100000272,1,1,37,1,137069,1,1,0
272,100000273,0,0,36,1,244541,2,2,1
273,100000274,0,0,28,0,120712,1,1,0
274,100000275,0,1,34,1,175367,0,0,3
275,100000276,0,0,32,0,111418,1,1,0
276,100000277,1,1,26,1,110913,1,0,0
277,100000278,0,1,49,2,84267,0,0,3
278,100000279,1,1,32,1,136886,1,2,0
279,100000280,0,0,29,0,144884,2,2,1
280,100000281,0,0,23,0,151180,1,1,0
281,100000282,0,0,50,1,114997,1,1,0
282,100000283,0,0,49,1,100961,0,0,3
283,100000284,0,0,63,2,124849,1,2,0
284,100000285,0,1,37,1,152308,1,2,0
285,100000286,1,1,35,1,167945,0,1,2
286,100000287,0,0,26,0,126706,1,2,0
287,100000288,0,0,31,0,210017,2,2,1
288,100000289,1,1,49,2,125665,1,1,0
289,100000290,0,1,48,2,111184,1,1,0
290,100000291,0,1,26,1,94134,1,0,0
291,100000292,0,1,28,1,214620,2,1,2
292,100000293,1,1,44,2,193816,2,1,1
293,100000294,0,0,56,1,168714,1,1,0
294,100000295,0,1,46,2,202997,2,1,2
295,100000296,1,1,26,1,192451,1,2,0
296,100000297,1,1,20,1,127928,1,2,0
297,100000298,0,0,45,1,78253,0,0,3
298,100000299,0,0,43,1,118446,1,1,0
299,100000300,0,0,32,0,161379,1,2,0
300,100000301,1,1,54,2,56622,0,0,3
301,100000302,1,1,42,2,146117,1,1,0
302,100000303,0,0,37,1,90418,0,0,3
303,100000304,0,0,49,1,109053,1,0,0
304,100000305,0,0,44,1,219319,1,0,0
305,100000306,0,1,33,1,144701,1,1,0
306,100000307,1,1,24,1,102425,0,0,3
307,100000308,0,1,33,1,79867,0,0,3
308,100000309,1,1,24,1,107114,1,2,0
309,100000310,0,1,22,1,62263,0,0,3
310,100000311,0,0,40,1,92567,0,0,3
311,100000312,0,0,25,0,146349,1,0,0
312,100000313,1,1,26,1,141825,1,1,0
313,100000314,0,1,25,1,68582,0,0,3
314,100000315,0,0,29,0,85476,0,0,3
315,100000316,0,0,31,0,111091,1,2,0
316,100000317,0,0,38,1,67110,0,0,3
317,100000318,1,1,48,2,126154,0,0,3
318,100000319,0,0,32,0,92257,1,2,0
319,100000320,1,1,27,1,93605,0,0,3
320,100000321,0,1,28,1,165190,2,0,2
321,100000322,0,1,32,1,107195,1,0,0
322,100000323,0,0,34,1,145059,2,0,1
323,100000324,0,0,28,0,148363,1,0,0
324,100000325,1,1,36,1,105681,1,2,0
325,100000326,0,0,39,1,93732,0,0,3
326,100000327,0,0,49,1,154778,1,2,0
327,100000328,1,1,34,1,149356,1,2,0
328,100000329,0,0,31,0,145670,1,1,0
329,100000330,0,0,28,0,101589,1,2,0
330,100000331,0,0,75,2,213333,2,1,1
331,100000332,1,1,30,1,122420,1,0,0
332,100000333,1,1,24,1,209856,2,1,1
333,100000334,1,1,24,1,181003,0,0,3
334,100000335,0,0,23,0,117804,1,1,0
335,100000336,0,1,44,2,160650,2,1,2
336,100000337,1,1,23,1,84611,0,0,3
337,100000338,1,1,24,1,98479,1,2,0
338,100000339,0,0,28,0,122359,1,2,0
339,100000340,0,1,31,1,81394,0,0,3
340,100000341,1,1,24,1,150372,1,1,0
341,100000342,1,1,26,1,92385,0,0,3
342,100000343,0,1,25,1,149851,1,2,0
343,100000344,0,0,33,1,167939,2,1,1
344,100000345,0,0,37,1,115426,0,0,3
345,100000346,1,1,43,2,85402,0,0,3
346,100000347,0,0,23,0,95815,1,2,0
347,100000348,1,1,23,1,97518,0,0,3
348,100000349,0,0,34,1,87355,0,0,3
349,100000350,0,0,32,0,145933,1,1,0
350,100000351,1,1,23,1,97307,1,0,0
351,100000352,1,1,29,1,108434,1,2,0
352,100000353,0,0,38,1,151312,2,1,1
353,100000354,0,0,28,0,141847,1,1,0
354,100000355,0,0,46,1,130675,1,2,0
355,100000356,0,0,23,0,69309,0,0,3
356,100000357,0,0,49,1,121466,1,2,0
357,100000358,0,0,26,0,153586,2,2,1
358,100000359,0,1,28,1,92849,1,0,0
359,100000360,1,1,23,1,108539,1,2,0
360,100000361,0,0,61,2,129556,1,2,0
361,100000362,0,0,37,1,170146,2,0,1
362,100000363,1,1,36,1,135383,1,1,0
363,100000364,0,1,21,1,96769,1,2,0
364,100000365,0,0,25,0,43684,0,0,3
365,100000366,0,0,36,1,103521,1,0,0
366,100000367,0,0,27,0,118499,1,1,0
367,100000368,1,1,22,1,119684,1,2,0
368,100000369,0,0,42,1,126586,1,1,0
369,100000370,1,1,40,2,136812,1,2,0
370,100000371,0,0,36,1,118277,1,1,0
371,100000372,0,0,33,1,144597,1,1,0
372,100000373,1,1,23,1,106043,1,0,0
373,100000374,0,0,63,2,272314,2,2,1
374,100000375,1,1,60,2,309364,2,2,1
375,100000376,1,1,37,1,170386,1,1,0
376,100000377,0,1,34,1,112458,1,0,0
377,100000378,0,0,36,1,96840,1,1,0
378,100000379,0,0,57,2,281923,2,1,1
379,100000380,1,1,52,2,95551,0,0,3
380,100000381,0,0,39,1,112347,1,2,0
381,100000382,1,1,38,1,260977,2,2,1
382,100000383,1,1,25,1,99354,1,0,0
383,100000384,0,0,26,0,111509,1,2,0
384,100000385,0,0,26,0,105252,0,0,3
385,100000386,1,1,25,1,108522,1,0,0
386,100000387,1,1,21,1,94655,1,1,0
387,100000388,0,0,40,1,201699,2,1,1
388,100000389,0,0,27,0,139868,1,2,0
389,100000390,1,1,27,1,102543,1,1,0
390,100000391,0,1,30,1,134467,2,2,2
391,100000392,1,1,19,1,111187,0,0,3
392,100000393,0,0,39,1,152302,2,1,1
393,100000394,1,1,31,1,110610,1,2,0
394,100000395,0,0,31,0,137827,2,2,1
395,100000396,0,0,32,0,220923,1,2,0
396,100000397,1,1,55,2,165717,2,2,1
397,100000398,0,1,46,2,122299,1,0,0
398,100000399,0,1,46,2,120499,1,0,0
399,100000400,1,1,43,2,126449,0,0,3
400,100000401,0,1,39,1,108315,1,2,0
401,100000402,0,1,28,1,112515,1,1,0
402,100000403,0,0,27,0,164559,1,1,0
403,100000404,0,0,27,0,59238,0,0,3
404,100000405,0,0,43,1,131133,1,0,0
405,100000406,0,1,22,1,109188,1,0,0
406,100000407,0,0,43,1,115393,1,1,0
407,100000408,0,1,27,1,94711,1,2,0
408,100000409,0,1,26,1,171860,2,0,2
409,100000410,0,1,28,1,139414,1,2,0
410,100000411,1,1,20,1,110931,1,1,0
411,100000412,0,0,35,1,187549,2,2,1
412,100000413,0,0,42,1,145508,2,0,1
413,100000414,0,0,40,1,104240,0,0,3
414,100000415,1,1,35,1,108272,1,1,0
415,100000416,0,0,35,1,144004,1,2,0
416,100000417,0,0,33,1,81083,0,0,3
417,100000418,1,1,23,1,166763,1,1,0
418,100000419,1,1,31,1,175530,2,1,1
419,100000420,1,1,33,1,112422,1,1,0
420,100000421,1,1,20,1,154134,1,2,0
421,100000422,0,0,30,0,112401,1,1,0
422,100000423,0,0,47,1,85690,0,0,3
423,100000424,0,0,34,1,145896,2,2,1
424,100000425,1,1,25,1,122552,1,2,0
425,100000426,0,1,21,1,115494,1,2,0
426,100000427,0,0,29,0,109467,1,0,0
427,100000428,0,0,46,1,148226,1,2,0
428,100000429,0,0,20,0,88559,1,1,0
429,100000430,1,1,55,2,62393,0,0,3
430,100000431,0,0,74,2,122133,0,0,3
431,100000432,0,0,29,0,230883,2,2,1
432,100000433,0,0,36,1,136689,2,2,1
433,100000434,0,1,33,1,109145,1,0,0
434,100000435,0,0,25,0,100449,1,2,0
435,100000436,0,1,25,1,106253,1,0,0
436,100000437,0,1,23,1,84747,0,0,3
437,100000438,1,1,37,1,149465,1,1,0
438,100000439,0,0,65,2,84435,0,0,3
439,100000440,1,1,26,1,51681,0,0,3
440,100000441,0,0,39,1,139198,2,1,1
441,100000442,1,1,30,1,106577,1,1,0
442,100000443,0,0,29,0,117372,1,2,0
443,100000444,0,0,41,1,69609,0,0,3
444,100000445,1,1,30,1,178947,2,2,1
445,100000446,1,1,41,2,81743,0,0,3
446,100000447,1,1,34,1,111900,1,1,0
447,100000448,0,0,35,1,121650,1,0,0
448,100000449,1,1,55,2,172639,2,2,1
449,100000450,0,1,61,2,175740,1,1,0
450,100000451,0,0,30,0,220050,2,2,1
451,100000452,1,1,29,1,95200,1,1,0
452,100000453,0,0,34,1,113609,1,1,0
453,100000454,0,0,35,1,143552,2,2,1
454,100000455,0,0,31,0,130973,1,2,0
455,100000456,1,1,29,1,145946,2,2,1
456,100000457,0,0,36,1,126206,1,1,0
457,100000458,0,0,35,1,120426,1,0,0
458,100000459,1,1,27,1,91925,1,2,0
459,100000460,0,0,32,0,129630,1,2,0
460,100000461,0,0,37,1,124268,1,2,0
461,100000462,0,0,36,1,105240,1,1,0
462,100000463,1,1,34,1,162180,2,0,1
463,100000464,0,0,38,1,106552,1,2,0
464,100000465,0,0,34,1,105843,1,2,0
465,100000466,0,0,63,2,138327,1,1,0
466,100000467,1,1,29,1,76154,0,0,3
467,100000468,0,0,32,0,155012,1,1,0
468,100000469,1,1,26,1,114369,1,1,0
469,100000470,0,0,35,1,102839,0,0,3
470,100000471,0,1,22,1,132796,1,0,0
471,100000472,1,1,23,1,89742,1,2,0
472,100000473,0,0,28,0,58615,0,0,3
473,100000474,0,0,36,1,130603,2,2,1
474,100000475,0,1,33,1,110340,1,0,0
475,100000476,1,1,26,1,117729,1,2,0
476,100000477,0,0,24,0,130808,1,0,0
477,100000478,0,0,25,0,147402,1,2,0
478,100000479,0,0,39,1,93567,0,0,3
479,100000480,0,0,44,1,109289,1,1,0
480,100000481,1,1,23,1,98742,0,0,3
481,100000482,0,0,26,0,101270,1,0,0
482,100000483,1,1,57,2,187835,1,1,0
483,100000484,1,1,30,1,140741,1,0,0
484,100000485,0,0,44,1,133265,1,2,0
485,100000486,0,0,47,1,148100,2,2,1
486,100000487,0,0,52,1,131021,1,2,0
487,100000488,1,1,62,2,152620,1,2,0
488,100000489,0,0,35,1,85033,0,0,3
489,100000490,0,0,26,0,114514,1,1,0
490,100000491,0,0,26,0,99307,1,1,0
491,100000492,1,1,42,2,219451,2,2,1
492,100000493,1,1,27,1,114007,1,0,0
493,100000494,0,0,38,1,102846,1,0,0
494,100000495,0,0,39,1,81483,0,0,3
495,100000496,0,1,20,1,107779,1,2,0
496,100000497,0,0,29,0,222360,2,2,1
497,100000498,0,0,40,1,107125,1,0,0
498,100000499,0,1,32,1,80080,0,0,3
499,100000500,0,1,28,1,129600,1,0,0
500,100000501,1,1,27,1,118613,1,1,0
501,100000502,0,0,42,1,146237,1,1,0
502,100000503,0,1,49,2,144461,1,2,0
503,100000504,0,0,38,1,124487,1,0,0
504,100000505,1,1,24,1,97826,1,0,0
505,100000506,0,0,27,0,64105,0,0,3
506,100000507,0,0,36,1,156374,1,2,0
507,100000508,0,0,34,1,205383,2,2,1
508,100000509,0,1,28,1,98964,1,2,0
509,100000510,0,0,45,1,221842,2,2,1
510,100000511,0,0,26,0,88027,1,2,0
511,100000512,0,0,32,0,160513,2,2,1
512,100000513,0,0,26,0,124536,1,2,0
513,100000514,0,1,20,1,93634,1,0,0
514,100000515,0,0,54,1,124725,1,0,0
515,100000516,1,1,37,1,102456,1,0,0
516,100000517,0,0,40,1,74975,0,0,3
517,100000518,1,1,23,1,153861,1,1,0
518,100000519,0,0,43,1,119351,1,2,0
519,100000520,0,0,36,1,95438,1,2,0
520,100000521,0,0,44,1,147967,1,2,0
521,100000522,1,1,24,1,116863,1,1,0
522,100000523,0,0,53,1,170622,1,1,0
523,100000524,1,1,23,1,132426,1,1,0
524,100000525,1,1,26,1,77519,0,0,3
525,100000526,0,0,30,0,169405,1,2,0
526,100000527,1,1,31,1,120030,1,0,0
527,100000528,0,0,42,1,77933,0,0,3
528,100000529,0,1,31,1,109892,1,1,0
529,100000530,0,0,41,1,69062,0,0,3
530,100000531,0,0,32,0,116348,1,0,0
531,100000532,1,1,28,1,137188,1,1,0
532,100000533,0,1,41,1,110199,1,0,0
533,100000534,0,1,26,1,109890,1,1,0
534,100000535,0,0,25,0,109751,1,2,0
535,100000536,0,1,33,1,129651,1,1,0
536,100000537,1,1,75,3,170113,2,1,1
537,100000538,1,1,37,1,140285,1,1,0
538,100000539,0,0,42,1,198029,2,2,1
539,100000540,1,1,45,2,120262,0,0,3
540,100000541,0,1,23,1,105137,1,1,0
541,100000542,0,0,60,2,127371,1,0,0
542,100000543,0,0,31,0,145689,1,0,0
543,100000544,0,0,34,1,102617,0,1,2
544,100000545,0,0,61,2,90709,0,0,3
545,100000546,0,0,43,1,107099,1,1,0
546,100000547,1,1,37,1,116021,1,2,0
547,100000548,0,0,32,0,100426,1,2,0
548,100000549,1,1,24,1,62249,0,0,3
549,100000550,0,0,35,1,172957,1,1,0
550,100000551,1,1,23,1,95003,1,1,0
551,100000552,0,0,45,1,109698,0,0,3
552,100000553,0,1,34,1,157376,1,0,0
553,100000554,0,0,27,0,123191,1,2,0
554,100000555,1,1,67,3,171052,2,0,1
555,100000556,0,0,22,0,99328,1,0,0
556,100000557,1,1,28,1,133799,1,2,0
557,100000558,1,1,29,1,138256,1,2,0
558,100000559,0,0,27,0,115638,1,0,0
559,100000560,0,0,31,0,82238,0,0,3
560,100000561,0,0,49,1,127543,1,1,0
561,100000562,0,0,24,0,63987,0,0,3
562,100000563,1,1,29,1,114784,1,0,0
563,100000564,0,0,37,1,217450,1,1,0
564,100000565,0,0,37,1,173751,2,2,1
565,100000566,1,1,23,1,122850,1,0,0
566,100000567,0,1,36,1,104953,1,0,0
567,100000568,0,0,34,1,152371,1,1,0
568,100000569,0,0,41,1,139905,1,0,0
569,100000570,1,1,31,1,156700,1,1,0
570,100000571,1,1,23,1,86488,0,0,3
571,100000572,0,0,38,1,147472,1,0,0
572,100000573,1,1,26,1,169991,2,0,1
573,100000574,1,1,22,1,62381,0,0,3
574,100000575,0,0,27,0,70926,0,0,3
575,100000576,1,1,24,1,113004,1,1,0
576,100000577,1,1,27,1,125760,1,0,0
577,100000578,1,1,33,1,111918,1,2,0
578,100000579,0,1,27,1,120674,1,1,0
579,100000580,0,1,27,1,63597,0,0,3
580,100000581,0,0,30,0,103069,1,1,0
581,100000582,0,0,49,1,108079,0,0,3
582,100000583,1,1,26,1,101159,1,1,0
583,100000584,0,0,33,1,88211,0,0,3
584,100000585,1,1,52,2,159052,2,1,1
585,100000586,1,1,20,1,102623,1,2,0
586,100000587,0,0,36,1,115589,1,0,0
587,100000588,0,0,21,0,59127,0,0,3
588,100000589,0,1,47,2,82240,0,0,3
589,100000590,0,0,60,2,129425,1,1,0
590,100000591,1,1,58,2,87058,0,0,3
591,100000592,1,1,42,2,128462,1,2,0
592,100000593,1,1,36,1,121403,0,0,3
593,100000594,1,1,20,1,88141,0,0,3
594,100000595,0,0,40,1,134946,2,2,1
595,100000596,1,1,32,1,94058,0,0,3
596,100000597,1,1,23,1,99285,1,1,0
597,100000598,0,0,36,1,108432,0,0,3
598,100000599,0,0,31,0,111369,1,0,0
599,100000600,0,0,32,0,122612,1,2,0
600,100000601,1,1,45,2,134350,1,0,0
601,100000602,1,1,30,1,108838,1,2,0
602,100000603,1,1,34,1,90852,0,0,3
603,100000604,1,1,28,1,151580,2,2,1
604,100000605,1,1,23,1,115681,1,1,0
