x,y
9,8
22,116
111,49
122,152
151,114
43,32
161,102
250,24
72,89
162,17
202,54
83,186
90,100
2,71
151,140
176,169
18,242
175,228
76,129
195,230
49,48
170,176
245,79
67,194
189,170
73,209
214,19
9,167
98,54
44,94
104,7
247,106
164,169
195,184
22,243
151,96
22,33
100,11
173,169
18,15
215,28
208,138
246,12
169,155
40,158
140,191
54,219
51,128
102,163
32,97
138,177
143,219
91,202
103,20
101,175
106,90
145,141
13,59
139,232
98,109
34,77
220,29
177,58
157,221
47,17
243,28
40,43
7,112
227,74
76,43
31,125
100,35
139,136
59,155
164,17
32,51
170,144
44,12
188,226
154,159
170,192
106,136
47,94
221,89
22,84
85,217
221,111
63,160
23,173
29,53
161,189
149,35
13,65
248,127
182,48
18,37
75,133
1,95
205,119
3,95
191,68
224,240
144,240
188,162
153,108
214,85
145,72
236,164
125,15
184,24
55,189
241,204
154,21
247,237
142,184
5,245
118,7
180,27
77,232
37,217
215,46
161,240
126,62
23,46
112,250
48,36
237,234
105,84
11,211
157,217
161,63
20,133
20,3
157,227
64,79
53,3
14,10
229,237
218,124
169,211
4,2
34,143
243,52
40,30
61,133
64,182
142,248
222,111
149,116
112,90
195,35
113,14
218,157
182,147
131,63
222,185
218,163
143,201
63,48
186,161
213,245
188,129
32,140
77,19
142,155
30,115
16,108
38,66
79,47
115,47
3,23
211,105
130,152
64,201
31,107
107,67
61,245
1,35
214,166
153,234
30,142
105,232
52,211
66,45
135,223
205,77
216,3
80,217
146,188
11,188
84,142
14,150
109,145
115,192
156,204
177,193
47,239
24,119
229,191
152,7
184,128
171,234
175,89
36,177
142,3
149,106
156,189
54,80
151,211
116,168
35,68
137,21
204,146
102,31
13,92
186,246
184,190
54,102
61,3
150,75
37,245
229,71
241,229
120,24
6,43
136,159
232,221
144,190
25,21
7,15
30,181
21,119
132,80
57,1
185,171
149,198
159,112
90,147
86,183
159,85
9,53
6,131
128,9
194,239
183,227
209,158
216,188
198,131
48,1
26,82
5,134
192,6
91,70
216,198
185,198
171,195
38,23
94,211
239,191
212,16
52,3
124,116
136,213
164,76
118,217
29,126
203,188
81,155
244,166
52,174
48,100
41,43
71,217
111,225
190,208
82,32
55,82
214,171
55,49
27,250
57,21
106,121
114,85
40,39
177,125
129,148
226,137
244,140
226,165
51,182
15,194
46,216
192,128
67,120
23,157
235,94
38,66
96,93
143,241
21,123
248,205
222,59
163,248
209,8
175,117
145,236
192,111
113,135
7,24
244,136
29,184
155,159
212,32
176,117
232,95
244,172
78,131
100,131
113,113
229,5
164,66
130,159
82,107
198,119
192,203
181,19
248,127
209,229
107,84
69,128
147,159
202,225
71,201
169,188
116,120
71,77
100,229
234,214
18,71
219,143
120,5
41,110
81,14
193,221
241,86
28,222
212,74
235,117
82,33
232,19
121,185
76,169
230,134
19,63
216,106
233,106
223,56
58,220
42,150
138,133
122,172
219,142
215,202
2,173
26,103
151,851
214,928
48,787
134,784
151,785
74,954
209,756
34,872
32,789
50,753
129,857
224,907
34,876
185,947
1,930
73,834
179,877
240,763
57,843
238,805
100,767
198,869
92,875
27,785
167,991
247,802
181,994
131,896
198,958
88,757
43,960
60,907
87,870
22,997
37,905
151,918
170,780
101,814
219,954
85,975
40,965
94,929
68,946
198,869
9,940
149,913
27,976
191,786
60,971
139,820
6,954
235,886
100,774
87,816
241,988
186,910
199,943
178,847
7,832
24,999
49,875
142,835
186,909
118,895
156,783
250,957
174,909
101,916
8,795
184,781
24,966
16,793
4,863
74,810
93,938
109,995
71,956
130,896
247,786
202,882
60,981
212,958
191,864
208,854
129,925
210,965
65,994
49,912
128,974
49,945
169,761
231,795
109,917
243,882
138,932
249,901
229,870
41,798
158,855
172,997
34,800
114,804
231,841
105,864
89,825
198,864
184,863
34,872
107,950
225,927
19,865
177,957
92,973
78,886
78,790
80,833
211,892
158,791
139,894
157,881
32,968
108,880
13,923
24,920
93,967
114,906
138,966
193,772
41,951
156,997
128,954
230,789
233,977
96,764
221,790
166,802
162,849
160,826
201,885
28,771
16,770
232,810
109,845
147,801
165,923
170,759
15,949
247,845
48,754
107,818
9,896
210,889
87,769
26,940
30,885
47,951
223,839
20,973
15,970
98,871
14,875
45,750
57,889
100,802
2,839
18,763
213,770
64,966
46,956
234,979
89,952
36,777
125,766
119,963
39,856
86,906
64,820
84,756
63,832
133,976
81,925
26,837
85,844
168,888
141,930
16,793
236,813
204,755
233,858
228,820
212,970
28,845
2,795
93,932
48,987
171,779
35,978
44,910
211,915
21,824
169,824
161,836
215,809
152,851
249,766
66,845
82,865
97,874
7,954
196,777
243,949
188,807
194,962
139,804
102,837
227,953
202,765
101,971
46,950
41,928
74,877
209,834
71,763
64,954
243,966
130,947
104,919
34,955
201,947
212,751
10,912
164,943
154,996
13,988
20,922
56,986
80,883
132,904
121,893
129,795
41,778
228,874
230,823
173,800
96,890
40,823
220,763
172,914
130,978
49,899
124,865
121,936
189,942
100,900
96,890
204,783
102,864
120,816
90,836
243,987
29,985
156,902
66,958
83,879
86,752
163,907
107,829
145,999
234,954
100,957
67,909
228,935
27,933
185,999
231,888
9,842
38,899
143,931
46,987
17,830
167,985
116,976
206,938
134,881
171,849
228,844
148,810
145,807
94,796
219,817
114,937
204,897
140,782
250,888
16,818
123,795
224,856
68,813
173,936
249,810
120,952
54,957
191,927
232,911
131,869
65,969
175,839
155,751
112,977
157,889
215,943
157,851
196,887
48,775
248,874
53,891
203,872
56,775
92,971
175,975
227,963
134,930
44,838
2,761
197,1000
238,930
33,821
29,771
192,815
106,807
117,844
224,842
157,995
203,994
89,809
230,919
187,763
18,880
82,839
142,948
162,840
103,774
7,895
223,972
107,847
164,913
1,816
148,960
131,881
71,760
57,860
9,809
75,903
110,986
116,792
231,928
92,889
150,823
174,905
35,979
226,870
167,891
219,872
181,788
241,893
247,917
157,991
192,960
164,843
97,797
105,932
30,793
52,927
35,805
39,805
189,818
184,857
113,859
227,777
213,825
4,877
125,989
123,850
192,830
127,845
32,795
35,903
238,958
233,866
40,815
18,774
173,885
142,983
134,802
217,1000
236,983
236,756
224,775
71,955
7,879
221,828
12,803
155,832
82,947
58,832
70,783
41,892
72,918
143,911
43,984
147,760
190,775
36,829
213,841
200,988
110,814
223,920
219,984
234,938
103,780
80,803
245,915
82,765
156,817
47,995
90,757
144,974
242,909
22,803
110,975
48,905
76,818
146,982
60,819
234,924
195,922
9,878
168,787
174,889
33,934
26,856
100,850
242,909
132,898
62,891
28,810
132,799
76,988
238,920
15,858
91,959
25,994
113,801
117,755
129,801
97,928
8,878
90,865
234,937
152,971
32,913
23,992
82,778
112,985
244,797
67,822
55,929
20,772
234,878
71,947
215,969
137,976
165,783
89,879
97,840
65,962
167,832
149,867
11,876
26,787
135,935
116,960
3,762
135,892
144,887
4,976
187,798
71,991
233,886
94,924
201,854
47,888
95,978
107,939
26,798
176,986
26,770
23,994
154,900
249,875
119,944
164,779
59,888
246,975
66,912
103,980
119,867
178,894
139,881
130,992
197,809
21,783
147,917
63,998
113,821
169,969
167,786
214,857
4,940
244,995
220,752
24,863
163,858
105,977
156,791
31,807
133,808
214,817
226,905
114,911
183,996
60,849
41,986
211,816
10,785
74,877
112,829
64,881
27,777
130,849
38,873
57,779
140,807
65,981
79,754
64,835
66,937
5,900
216,935
166,888
222,838
24,869
165,994
150,970
82,899
236,928
11,855
243,753
106,966
229,826
109,916
237,785
241,798
85,968
6,990
72,927
65,806
50,761
202,975
69,945
155,775
73,939
52,914
15,793
241,842
122,876
56,846
84,789
25,967
168,821
218,906
23,902
41,852
138,791
155,983
197,868
204,842
42,835
227,751
128,751
5,921
111,840
1,984
207,854
232,940
92,810
97,753
91,925
1,832
46,913
151,871
245,912
198,966
33,899
34,936
191,849
210,822
7,906
234,841
228,857
157,945
117,850
39,808
191,766
196,882
114,905
82,895
10,984
141,813
202,839
233,783
46,892
250,905
84,867
128,888
148,994
112,807
167,819
69,895
208,905
225,953
234,905
168,762
225,860
131,850
61,938
21,919
117,805
3,963
156,752
216,907
103,879
76,832
247,780
112,868
98,968
73,770
13,953
65,856
235,881
6,974
168,936
96,860
146,852
147,901
142,754
249,900
173,985
141,899
135,895
52,772
116,827
31,932
118,991
142,972
59,977
30,836
193,813
246,813
247,801
71,991
85,916
31,899
227,906
122,776
1,833
191,867
207,929
23,896
223,801
65,793
203,975
73,755
26,883
85,964
154,775
209,799
61,893
226,949
37,891
31,808
198,753
76,983
20,760
250,779
161,760
75,887
110,789
43,943
67,978
72,752
60,954
111,849
203,917
219,772
56,983
66,962
208,951
230,943
146,950
246,768
98,955
53,930
189,889
220,767
156,895
240,843
240,891
176,975
63,946
230,935
128,775
207,996
26,881
150,766
101,761
61,861
67,940
141,804
214,916
232,764
111,870
185,757
178,871
35,981
226,876
25,850
70,790
128,983
247,751
19,796
213,899
11,921
104,790
145,839
121,818
36,977
68,797
150,849
42,756
180,908
30,954
11,831
84,758
221,859
36,894
48,833
229,812
44,850
208,846
178,764
106,760
247,982
29,978
114,818
170,853
115,826
162,751
64,952
144,880
193,962
188,948
108,847
146,895
0,993
114,877
93,772
116,880
186,973
225,988
91,903
105,787
232,907
55,876
105,903
175,816
203,986
154,792
135,942
155,882
94,931
144,883
154,924
122,952
214,843
153,810
31,904
236,938
23,801
12,953
173,940
133,830
205,882
143,992
234,860
206,751
36,978
39,812
8,771
164,757
32,810
218,760
215,998
88,786
50,974
187,897
47,957
17,966
170,926
242,831
62,766
130,845
28,792
57,903
239,892
135,975
67,942
29,800
7,840
126,864
3,804
138,932
68,908
15,992
95,997
119,918
30,933
213,869
140,762
214,858
21,900
199,996
18,981
39,891
103,955
226,991
192,898
20,817
205,898
132,955
18,868
170,868
188,839
47,780
13,806
178,976
210,887
134,880
250,824
234,959
13,863
162,1000
87,750
237,915
15,836
187,842
159,833
98,754
18,920
85,912
57,886
135,776
81,945
24,904
65,903
34,953
66,763
161,756
124,913
65,817
122,800
64,754
216,873
235,999
92,801
224,981
92,874
51,842
151,791
58,916
227,802
73,995
56,951
45,879
158,772
85,775
21,926
92,861
115,960
211,807
51,901
212,897
231,795
181,842
85,939
232,755
35,816
220,895
1,945
181,924
190,922
193,944
51,953
133,771
63,971
239,968
150,953
130,925
225,803
245,900
205,923
116,880
99,838
113,907
84,786
165,850
184,762
98,988
235,791
153,907
155,967
209,984
211,828
39,808
27,855
220,951
117,766
36,847
153,854
12,934
198,819
67,841
212,802
136,929
145,769
96,877
0,942
97,822
244,765
223,772
168,937
203,997
43,799
8,917
5,982
4,880
155,931
236,895
27,958
7,763
25,775
212,775
121,815
242,949
235,870
113,933
185,854
6,864
100,949
154,936
180,864
77,871
159,823
224,792
32,1000
198,840
222,993
140,946
204,788
67,799
223,906
215,848
16,887
173,818
134,802
72,776
169,819
9,850
141,955
135,758
27,753
19,825
29,819
204,878
199,872
19,799
184,922
195,920
1,909
170,986
432,189
461,198
706,929
637,549
916,705
850,979
570,906
853,607
564,648
647,982
657,978
974,599
875,684
954,581
789,563
974,530
522,572
868,867
919,853
697,684
966,525
963,502
616,701
739,972
912,503
870,947
522,951
591,779
936,856
718,756
583,719
741,949
958,669
650,999
787,520
895,617
646,658
652,617
774,855
828,702
658,874
898,769
699,617
705,894
547,594
969,632
666,761
525,546
878,626
597,598
903,918
695,594
543,720
957,954
924,711
631,838
809,809
575,541
525,860
634,629
907,900
589,734
853,783
569,863
757,990
579,612
826,629
954,591
938,947
760,641
765,676
782,642
622,995
668,817
985,616
657,905
564,684
677,910
999,946
700,767
580,866
923,860
809,975
808,596
810,524
803,799
830,934
896,693
996,958
588,790
785,854
737,506
528,824
962,894
745,758
548,948
749,623
762,705
953,806
663,507
607,501
592,550
960,889
600,755
977,881
762,904
579,957
721,821
913,856
706,546
753,942
709,920
615,905
525,802
938,876
881,904
621,603
647,900
692,637
774,517
560,566
603,909
922,788
547,553
903,835
626,572
833,843
557,515
737,858
624,906
916,512
779,692
509,636
852,546
969,805
826,739
564,913
687,642
621,507
527,881
688,876
892,756
759,967
969,929
782,664
851,644
685,911
941,860
690,567
914,532
501,584
958,514
665,707
965,906
890,913
640,533
781,609
598,930
643,664
972,688
732,551
916,846
906,692
545,791
949,918
539,805
676,930
708,905
580,883
674,820
542,938
620,547
535,963
945,814
705,962
781,598
729,746
774,526
793,875
579,977
756,797
741,515
992,734
652,546
772,989
657,715
504,627
500,993
789,989
824,916
930,754
855,515
825,615
693,788
654,593
935,943
974,603
785,840
541,520
588,944
739,596
552,622
790,561
967,647
744,694
852,856
848,514
902,567
968,799
608,564
515,893
794,816
562,624
631,948
760,668
769,629
851,894
769,749
720,812
759,877
631,923
988,592
959,513
702,582
844,832
866,941
669,555
542,934
613,826
501,528
860,866
577,691
652,847
664,632
934,950
719,684
789,793
944,515
512,695
774,549
750,687
871,501
709,572
893,604
964,868
542,691
847,819
658,967
507,993
819,754
931,896
635,965
704,983
881,812
759,536
773,621
623,905
574,670
860,950
584,959
502,707
711,991
791,780
798,878
810,912
880,898
960,739
523,637
923,776
882,986
595,898
958,758
712,787
901,637
762,875
769,757
773,818
783,817
653,956
526,794
829,898
683,706
678,561
861,928
578,822
950,663
823,532
709,627
956,707
552,707
809,908
629,763
596,869
586,993
675,731
906,969
796,554
992,578
626,946
934,919
990,564
727,936
934,774
558,948
555,967
903,851
508,514
908,793
940,544
885,601
882,788
742,943
891,568
568,868
504,587
888,776
997,778
649,975
979,504
937,858
990,683
587,517
836,875
932,620
560,853
652,679
727,961
818,550
843,951
934,974
945,617
907,646
825,787
586,795
623,929
578,948
567,866
718,937
551,603
792,953
585,645
789,553
851,978
537,635
500,763
769,691
947,859
682,548
505,957
838,805
857,834
823,929
567,579
817,993
800,874
725,925
803,548
873,675
832,753
633,682
737,979
544,863
973,868
628,824
996,783
631,817
903,875
688,936
921,666
779,710
989,713
592,836
678,762
693,913
965,920
999,898
808,747
902,985
546,752
681,727
945,534
571,822
703,903
708,760
905,787
531,767
621,796
981,864
984,726
558,804
656,565
769,669
657,580
790,783
775,550
737,834
816,500
846,868
660,508
601,601
716,806
598,560
548,897
622,508
838,561
734,911
874,656
673,651
672,762
657,792
506,755
618,535
784,703
871,981
723,568
954,553
637,798
933,597
718,612
800,672
613,961
665,568
734,939
824,750
736,503
879,841
654,512
526,589
858,558
532,654
843,673
907,550
970,578
927,852
715,565
589,825
942,808
968,696
817,640
842,740
746,556
580,872
959,773
535,949
824,700
594,834
862,642
524,786
818,825
852,986
543,782
707,725
778,866
860,760
791,992
575,623
525,961
736,599
613,917
932,897
747,638
653,864
874,613
929,656
552,710
749,671
650,622
786,776
664,851
586,583
986,706
752,587
975,892
694,971
744,951
738,956
502,723
608,929
601,969
900,744
888,502
724,768
757,836
652,882
929,553
574,936
641,501
969,525
878,507
619,832
718,855
813,516
647,721
749,512
934,891
603,534
633,677
906,524
987,848
992,538
630,796
891,919
562,757
842,531
619,971
838,656
770,587
665,582
798,845
911,646
899,757
550,537
587,678
912,694
746,527
622,919
536,897
866,592
628,996
517,938
779,550
730,787
989,856
541,640
624,847
998,908
532,650
763,919
996,724
823,851
902,526
703,698
609,672
732,577
654,547
967,744
827,854
636,662
660,983
691,727
709,809
854,691
723,968
792,839
931,985
986,554
946,754
884,904
726,828
808,589
598,608
841,574
960,858
753,928
502,621
770,628
504,643
598,653
610,717
799,988
656,863
522,916
993,724
761,887
987,676
989,797
518,733
766,831
703,959
933,654
955,537
853,509
776,939
851,586
882,775
953,585
936,906
801,602
824,868
875,957
937,696
740,623
671,985
823,583
984,865
567,915
921,887
824,682
563,878
773,928
781,845
971,953
580,888
672,906
670,627
563,837
728,667
833,706
739,756
777,904
889,936
970,544
755,897
709,941
613,868
561,507
946,965
534,938
656,696
936,884
639,634
890,627
794,613
582,664
867,582
568,949
978,941
823,801
857,782
515,638
753,784
660,500
652,661
588,746
834,748
900,707
742,682
733,547
826,538
605,809
952,938
566,694
968,757
937,928
972,627
668,906
903,569
678,577
683,751
762,982
531,684
609,761
834,730
756,750
629,777
811,510
978,696
704,987
576,824
761,764
633,755
871,970
551,586
831,991
829,941
593,658
706,698
506,993
913,885
995,958
744,739
632,804
635,912
983,526
588,567
520,695
990,814
737,568
615,517
850,619
711,598
870,625
716,625
967,644
993,933
619,862
957,795
603,657
915,843
523,658
679,797
607,529
821,527
982,978
518,985
928,864
542,693
880,899
665,852
729,829
538,916
622,848
694,630
963,608
686,936
853,519
842,895
729,717
940,889
986,966
683,888
577,621
915,902
839,582
725,768
586,647
556,754
849,618
611,958
522,972
971,782
917,570
730,689
876,536
915,550
539,640
947,720
819,529
751,752
841,914
681,971
997,566
823,702
965,739
996,603
912,868
604,548
962,657
560,714
567,858
846,567
556,868
698,953
571,538
605,994
977,912
567,725
767,662
623,838
528,830
532,875
757,571
787,762
820,813
562,966
545,530
846,886
870,505
543,978
794,675
856,749
665,946
868,645
893,854
588,708
654,731
514,828
875,662
628,795
786,998
805,798
715,753
818,756
528,632
991,852
931,869
512,583
933,748
900,727
620,605
889,601
544,769
929,605
532,680
928,690
989,782
982,725
838,885
590,910
688,934
610,913
506,937
676,661
750,574
732,855
714,892
925,789
601,985
583,673
719,737
726,787
907,648
796,879
542,987
921,589
624,908
979,981
681,736
506,896
765,952
522,791
722,506
812,599
781,558
761,796
927,838
823,669
940,606
767,515
891,976
585,784
659,600
728,821
743,761
570,1000
788,903
726,670
973,741
987,899
884,873
994,819
664,549
830,803
859,648
568,613
837,847
544,951
779,832
828,685
848,600
507,572
562,978
614,993
532,740
647,994
950,568
757,634
828,936
953,737
715,903
573,957
945,543
760,860
770,793
580,642
665,802
690,986
503,847
999,880
928,884
669,576
528,727
923,809
812,858
718,921
638,582
937,555
504,974
689,618
582,555
875,782
807,811
894,759
565,740
646,630
794,571
662,917
570,824
644,986
891,505
547,926
807,675
617,995
996,808
602,646
778,630
734,913
644,798
671,758
764,983
868,694
626,567
905,1000
784,674
735,540
729,838
761,699
662,554
739,774
589,746
881,847
524,742
820,972
729,797
979,764
818,861
743,751
936,667
817,660
640,871
872,544
805,505
632,832
567,822
926,864
549,986
663,556
962,684
538,522
706,645
917,523
601,783
584,632
658,788
523,785
832,721
762,952
573,653
616,867
906,642
719,589
541,690
556,798
954,503
777,727
609,687
878,773
806,557
976,868
577,827
524,975
508,994
842,919
911,825
773,936
868,752
943,719
695,934
779,952
703,787
674,813
649,732
737,612
943,566
983,788
819,803
826,788
806,926
522,844
828,657
972,988
642,847
665,731
826,647
834,503
504,598
812,664
945,552
595,840
793,862
594,577
687,500
534,537
962,703
633,791
705,690
654,917
799,675
567,585
945,981
515,806
868,617
986,554
510,564
656,513
613,873
672,735
797,769
532,997
853,954
933,807
507,865
870,740
614,874
625,619
796,657
791,649
775,725
716,891
749,583
644,972
957,859
869,507
969,738
680,791
511,740
935,539
922,527
553,611
604,790
907,871
777,595
