x,y
62,90
6,26
7,16
31,63
55,31
38,7
3,31
94,48
10,74
40,96
16,20
27,11
8,29
23,16
28,79
80,20
55,58
81,39
2,99
44,100
10,31
75,4
33,84
17,58
3,3
8,6
46,49
49,59
8,6
89,34
16,77
86,99
15,95
15,13
58,56
77,46
8,5
18,71
58,6
12,8
86,85
73,91
19,60
41,56
54,63
82,53
46,52
25,48
55,84
70,2
15,3
87,53
63,98
77,70
97,15
69,33
86,46
96,39
51,21
38,83
98,73
35,4
62,22
9,4
90,72
36,1
75,63
43,19
84,43
46,93
68,73
91,100
76,96
36,53
11,59
6,84
75,97
79,40
11,41
56,78
45,82
95,97
5,67
21,75
3,18
44,2
44,45
15,30
80,40
65,76
92,45
89,92
95,77
29,45
31,54
2,84
34,9
98,56
89,98
30,58
55,36
56,6
9,4
100,96
9,74
80,90
85,42
22,94
97,41
29,14
65,46
57,45
50,17
8,71
28,3
92,31
1,10
85,22
30,32
61,46
86,80
61,19
44,96
78,36
51,29
62,71
84,65
54,72
98,30
1,19
97,28
18,40
19,43
38,69
71,4
23,4
41,51
34,92
12,71
30,25
99,22
69,71
4,83
38,64
15,100
94,86
37,100
42,66
63,40
80,24
33,62
57,51
96,19
28,78
60,48
8,33
32,44
62,42
61,54
78,32
67,96
56,19
65,83
79,63
75,70
9,26
60,89
70,74
73,51
41,84
16,49
79,91
12,86
79,14
69,7
38,28
11,21
75,90
32,4
11,26
9,88
64,77
53,77
53,49
27,73
22,58
28,45
80,29
12,36
2,12
52,92
69,43
63,74
84,46
65,95
70,55
93,40
42,13
47,74
71,35
3,99
46,85
85,36
46,25
15,20
7,85
23,4
31,18
83,91
49,83
27,1
22,51
7,2
67,61
7,98
38,99
50,43
80,84
56,7
94,69
92,100
74,8
61,90
73,37
41,20
42,50
34,60
67,51
88,1
19,6
7,15
30,20
71,41
82,78
54,15
55,100
96,9
81,15
89,7
9,76
31,77
1,26
51,43
44,58
3,4
56,19
2,68
51,81
35,30
14,93
69,35
21,68
10,26
77,89
2,12
70,88
8,30
46,75
33,13
31,82
49,79
67,88
79,43
62,57
76,27
72,52
16,98
35,54
20,9
65,21
65,65
31,17
74,76
70,84
80,97
82,28
8,71
61,79
98,30
33,76
38,35
13,53
52,9
5,11
9,50
22,77
25,54
75,31
30,62
70,31
81,33
36,38
80,5
26,90
66,43
3,10
25,18
4,84
73,70
3,16
78,11
59,77
70,79
80,42
62,7
41,47
97,62
13,61
77,7
18,56
77,16
61,5
1,26
63,50
72,83
100,50
100,43
70,94
72,33
42,63
94,11
81,82
65,24
52,17
58,40
68,85
11,87
31,13
10,95
79,36
18,1
99,39
61,79
63,61
36,18
1,52
12,79
69,38
2,79
76,69
20,27
8,96
46,85
70,9
27,84
67,94
50,85
68,85
22,47
82,26
3,57
51,30
14,9
87,45
83,89
42,5
58,54
8,6
42,19
29,19
31,23
87,11
90,41
95,83
36,24
73,36
69,33
89,79
100,60
7,78
3,58
32,45
58,73
91,49
90,88
54,43
26,12
72,29
54,4
28,59
94,13
4,99
6,12
1,79
67,87
43,96
37,83
59,90
56,76
40,34
8,19
88,83
90,14
53,68
36,77
35,92
100,94
88,78
62,66
31,25
67,53
27,91
73,84
33,76
22,92
8,77
58,2
15,91
47,65
9,94
29,43
97,72
85,24
46,96
15,4
24,68
25,38
100,49
84,30
90,17
47,14
3,77
50,62
54,2
91,30
80,28
66,91
50,59
43,99
69,40
61,37
50,87
55,35
1,34
67,99
15,19
23,57
82,88
23,81
7,18
8,59
76,39
61,63
70,86
45,36
28,38
93,79
76,44
77,71
21,72
57,96
37,47
35,58
60,22
93,94
59,81
26,73
53,65
57,74
93,4
79,30
38,100
13,31
21,13
37,31
83,81
51,31
88,13
39,90
22,53
21,82
91,37
4,25
67,25
39,42
35,37
78,78
51,80
77,99
24,67
70,60
58,78
34,30
51,73
23,47
18,58
48,77
66,62
23,83
25,36
29,28
47,71
47,92
61,70
7,12
38,93
99,22
89,72
15,79
95,12
73,6
85,98
43,87
17,54
47,9
30,15
59,76
72,59
99,76
82,59
79,80
6,73
44,30
79,44
68,48
53,6
47,29
43,72
99,78
6,15
69,70
63,100
13,8
38,5
22,61
71,52
28,88
11,26
45,19
16,41
21,15
89,22
53,76
72,58
13,85
24,80
17,63
59,90
74,45
8,65
54,17
97,55
25,24
18,58
88,44
13,36
26,9
51,82
25,97
24,99
8,52
79,92
18,66
59,47
75,34
75,9
61,7
51,23
11,74
93,94
6,28
98,64
24,16
63,51
7,45
69,83
43,100
77,9
24,36
87,90
7,57
83,25
13,50
5,14
97,82
55,76
94,6
15,55
56,66
12,84
37,84
58,46
94,35
52,25
13,49
99,69
80,25
75,49
80,85
31,42
43,98
87,54
57,74
34,12
96,86
77,91
70,96
66,5
30,90
29,23
91,34
75,92
28,62
61,52
66,23
16,84
26,29
37,32
48,93
6,78
62,35
90,90
13,82
73,53
86,97
6,21
15,93
16,66
15,67
75,93
26,83
52,43
75,67
72,100
7,45
45,49
7,13
74,98
36,98
80,60
79,53
94,86
4,76
12,99
92,11
20,9
88,82
31,63
54,29
27,12
83,100
32,25
58,93
39,59
48,100
84,4
95,99
26,59
5,82
75,12
24,74
48,96
9,91
90,74
69,73
7,22
78,64
78,47
83,65
94,64
97,52
49,41
53,2
78,3
23,43
38,95
56,18
81,48
77,9
100,58
39,42
77,65
73,85
35,49
15,40
91,52
98,40
92,23
17,57
72,83
80,2
74,42
78,28
32,63
49,20
65,10
29,63
75,55
53,41
15,5
12,24
87,79
12,38
57,31
69,85
23,46
60,22
23,98
87,38
22,81
46,1
53,50
42,90
