transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,customer_id,gender,past_3_years_bike_related_purchases,DOB,job_industry_category,wealth_segment,deceased_indicator,owns_car,property_valuation
29/06/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,22,Female,79,10/12/1962,IT,Mass Customer,N,No,5
08/04/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,23,Male,43,10/02/1995,,High Net Worth,N,Yes,7
18/10/2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,24,Female,55,03/12/1977,Argiculture,Mass Customer,N,Yes,4
11/06/2017,FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,$57.74,25,Male,72,02/12/1976,Financial Services,Mass Customer,N,Yes,7
10/01/2017,FALSE,Approved,Trek Bicycles,Standard,medium,large,1469.44,$596.55,26,Female,12,10/06/1978,Financial Services,Mass Customer,N,Yes,11
11/04/2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,1469.44,$596.55,27,Male,37,25/09/1978,Health,Mass Customer,N,Yes,12
23/12/2017,FALSE,Approved,Trek Bicycles,Mountain,low,medium,574.64,$459.71,28,Male,5,30/09/1973,Health,Affluent Customer,N,Yes,9
13/10/2017,TRUE,Approved,Norco Bicycles,Standard,medium,medium,360.4,$270.30,29,Female,62,22/06/1968,Manufacturing,Mass Customer,N,No,9
15/03/2017,FALSE,Approved,WeareA2B,Standard,low,medium,642.31,$513.85,30,Male,18,18/10/1961,IT,Affluent Customer,N,Yes,8
05/09/2017,TRUE,Approved,Norco Bicycles,Standard,medium,medium,1198.46,$381.10,31,Female,3,24/11/1962,Telecommunications,High Net Worth,N,Yes,6
18/02/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,32,Female,17,20/04/1995,Manufacturing,Affluent Customer,N,No,8
20/03/2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,33,Male,44,25/06/1957,,Affluent Customer,N,Yes,1
28/02/2017,TRUE,Approved,Trek Bicycles,Road,low,small,1720.7,"$1,531.42",34,U,59,1843-12-21,IT,Affluent Customer,N,No,4
20/08/2017,FALSE,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84,35,Female,40,28/09/1963,Health,High Net Worth,N,Yes,10
07/07/2017,FALSE,Approved,WeareA2B,Standard,medium,small,1415.01,"$1,259.36",36,Female,33,09/11/1977,,Affluent Customer,N,No,8
09/01/2017,FALSE,Approved,Solex,Standard,high,large,1842.92,"$1,105.75",37,Female,46,22/12/1985,Health,High Net Worth,N,No,9
06/12/2017,FALSE,Approved,Solex,Standard,medium,medium,71.49,$53.62,38,Female,37,29/10/1955,Financial Services,Affluent Customer,N,No,10
12/09/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60,39,Male,5,16/04/1979,Entertainment,Mass Customer,N,No,8
28/11/2017,TRUE,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84,40,Female,91,27/10/1981,Manufacturing,Affluent Customer,N,No,2
08/05/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76,41,Male,64,14/04/1976,Health,Mass Customer,N,No,3
14/05/2017,FALSE,Approved,Solex,Touring,medium,large,2083.94,$675.03,42,Female,24,28/03/1977,Manufacturing,Mass Customer,N,No,6
17/03/2017,FALSE,Cancelled,WeareA2B,Standard,low,medium,642.31,$513.85,43,Female,38,01/03/1983,Retail,Mass Customer,N,No,4
22/12/2017,FALSE,Approved,Solex,Standard,low,medium,1289.85,$74.51,44,Male,63,18/10/1981,Entertainment,Affluent Customer,N,Yes,9
07/06/2017,TRUE,Approved,Trek Bicycles,Road,medium,large,1894.19,$598.76,45,Male,64,23/09/1975,Financial Services,Mass Customer,N,No,9
20/06/2017,FALSE,Approved,Solex,Standard,medium,medium,1163.89,$589.27,46,Female,98,26/02/1972,,Affluent Customer,N,Yes,10
07/05/2017,TRUE,Approved,Trek Bicycles,Standard,low,medium,1057.51,$154.40,47,Male,51,22/10/1992,Health,Affluent Customer,N,No,5
10/06/2017,TRUE,Approved,Solex,Standard,medium,medium,1151.96,$649.49,48,Female,46,15/08/1975,,Mass Customer,N,Yes,8
17/06/2017,FALSE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,49,Male,63,26/01/1994,,Affluent Customer,N,No,3
10/05/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,642.7,$211.37,50,Male,38,01/10/1980,Manufacturing,Mass Customer,N,Yes,8
24/03/2017,FALSE,Approved,Norco Bicycles,Road,medium,large,1240.31,$795.10,51,Male,68,05/12/1959,Retail,Mass Customer,N,No,10
27/11/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1635.3,$993.66,52,Male,57,22/06/1988,Financial Services,Mass Customer,N,Yes,10
21/12/2017,TRUE,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73,53,Female,22,18/04/1954,Financial Services,Mass Customer,N,No,6
09/02/2017,TRUE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,54,Femal,2,24/07/1966,Property,Mass Customer,N,Yes,9
18/09/2017,FALSE,Approved,Norco Bicycles,Standard,low,medium,363.01,$290.41,55,Male,48,24/09/1956,Financial Services,Affluent Customer,N,Yes,9
14/11/2017,FALSE,Approved,Trek Bicycles,Road,low,small,1720.7,"$1,531.42",56,Male,44,04/07/1996,Property,Mass Customer,N,Yes,10
30/08/2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,1635.3,$993.66,57,M,87,13/06/1988,,Mass Customer,N,Yes,7
14/11/2017,FALSE,Approved,Solex,Standard,medium,medium,100.35,$75.26,58,Female,26,04/07/1967,Financial Services,Affluent Customer,N,Yes,8
15/02/2017,TRUE,Approved,OHM Cycles,Standard,high,medium,1458.17,$874.90,59,Male,60,08/02/2000,,High Net Worth,N,No,9
18/12/2017,FALSE,Approved,Giant Bicycles,Standard,high,small,1977.36,"$1,759.85",60,Female,18,04/02/1970,Manufacturing,Mass Customer,N,No,8
24/02/2017,FALSE,Approved,OHM Cycles,Road,high,large,12.01,$7.21,61,Female,47,29/11/1959,Property,High Net Worth,N,No,10
18/12/2017,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",62,Female,38,06/07/1979,IT,Mass Customer,N,Yes,10
17/12/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,63,Female,58,03/07/1965,Retail,Mass Customer,N,Yes,10
08/07/2017,FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,64,Male,73,25/03/1978,IT,High Net Worth,N,No,7
16/05/2017,TRUE,Approved,Norco Bicycles,Standard,medium,small,1216.14,"$1,082.36",65,Male,21,01/04/1976,Financial Services,Affluent Customer,N,Yes,7
23/02/2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,66,Male,46,11/03/2002,Argiculture,High Net Worth,N,No,12
03/07/2017,TRUE,Approved,Solex,Standard,medium,medium,71.49,$53.62,67,Male,67,14/06/1960,Retail,Mass Customer,N,No,10
30/09/2017,TRUE,Approved,Giant Bicycles,Standard,high,medium,1129.13,$677.48,68,Female,37,21/04/1974,,Affluent Customer,N,No,6
21/10/2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,69,Female,16,22/06/1969,,Mass Customer,N,No,8
06/05/2017,TRUE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,70,Male,78,27/02/1993,Financial Services,Affluent Customer,N,No,8
03/01/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44,71,Male,30,27/01/1985,Argiculture,Affluent Customer,N,Yes,8
09/05/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76,72,Male,93,13/02/1972,Manufacturing,Affluent Customer,N,Yes,9
23/07/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,60.34,$45.26,73,Female,16,27/05/1960,,Affluent Customer,N,Yes,5
21/01/2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86,$137.90,74,Female,94,19/06/1969,,Mass Customer,N,Yes,9
20/06/2017,FALSE,Approved,OHM Cycles,Standard,medium,medium,912.52,$141.40,75,Female,28,15/07/1978,Property,Mass Customer,N,No,10
10/03/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,60.34,$45.26,76,Female,20,23/01/1978,Retail,High Net Worth,N,Yes,1
02/06/2017,FALSE,Approved,WeareA2B,Standard,medium,small,175.89,$131.92,77,Male,79,12/09/1989,Financial Services,Mass Customer,N,No,6
07/11/2017,FALSE,Approved,OHM Cycles,Touring,low,medium,1073.07,$933.84,78,Male,37,12/03/1985,Argiculture,Affluent Customer,N,No,8
12/09/2017,TRUE,Approved,Giant Bicycles,Standard,high,medium,1179,$707.40,79,Female,76,02/10/1968,Manufacturing,Mass Customer,N,No,12
16/12/2017,FALSE,Approved,Norco Bicycles,Standard,low,medium,958.74,$748.90,80,Male,11,24/04/1978,Entertainment,Mass Customer,N,No,11
07/10/2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,81,Female,58,04/09/1986,Health,High Net Worth,N,No,11
27/04/2017,TRUE,Approved,Solex,Standard,medium,large,1071.23,$380.74,82,Female,93,28/06/1965,Property,High Net Worth,N,No,11
01/04/2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,83,Male,97,26/02/1967,IT,Mass Customer,N,Yes,12
02/11/2017,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",84,Male,78,07/02/1958,,Mass Customer,N,Yes,12
13/02/2017,TRUE,Approved,Trek Bicycles,Road,medium,medium,290.62,$215.14,85,Male,1,21/05/1958,,Mass Customer,N,No,11
19/07/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,86,Male,75,04/03/1989,Health,High Net Worth,N,Yes,10
23/05/2017,FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,87,Male,78,23/04/1974,Financial Services,Mass Customer,N,No,9
06/08/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,752.64,$205.36,88,Female,41,03/02/1966,Property,High Net Worth,N,Yes,10
04/04/2017,TRUE,Approved,OHM Cycles,Road,high,large,12.01,$7.21,89,Male,74,22/01/1967,Health,Mass Customer,N,Yes,10
15/08/2017,TRUE,Approved,Solex,Standard,medium,medium,478.16,$298.72,90,Male,76,12/11/1984,Manufacturing,Mass Customer,N,No,7
15/04/2017,TRUE,Approved,Solex,Standard,high,medium,1024.66,$614.80,91,Male,69,24/02/1955,Financial Services,Affluent Customer,N,Yes,10
25/07/2017,TRUE,Approved,Solex,Standard,medium,medium,1945.43,$333.18,92,Female,98,11/09/1980,Health,Mass Customer,N,No,11
28/11/2017,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",93,Male,63,16/07/1976,Retail,Mass Customer,N,Yes,8
23/12/2017,FALSE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,94,Male,33,07/08/1974,Manufacturing,Mass Customer,N,No,10
26/02/2017,FALSE,Approved,Solex,Standard,medium,medium,441.49,$84.99,95,Female,67,25/12/1960,Manufacturing,Affluent Customer,N,Yes,9
21/02/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,96,Male,33,31/08/1968,Manufacturing,Mass Customer,N,No,12
31/05/2017,TRUE,Approved,OHM Cycles,Touring,low,medium,1073.07,$933.84,97,Male,16,27/07/1979,Financial Services,Mass Customer,N,Yes,10
23/06/2017,,Approved,Trek Bicycles,Road,medium,medium,533.51,$400.13,98,Female,19,17/03/1956,Health,Mass Customer,N,No,9
26/03/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,569.56,$528.43,99,Male,97,13/06/1998,Financial Services,Mass Customer,N,No,12
31/07/2017,FALSE,Approved,Solex,Standard,medium,medium,478.16,$298.72,100,Male,80,11/05/1968,Financial Services,Mass Customer,N,Yes,10
27/07/2017,FALSE,Approved,Norco Bicycles,Standard,high,medium,1148.64,$689.18,101,Male,83,29/12/1975,Manufacturing,High Net Worth,N,No,10
14/04/2017,FALSE,Approved,Giant Bicycles,Standard,high,medium,1129.13,$677.48,102,Male,51,27/11/1956,Manufacturing,Affluent Customer,N,No,9
12/11/2017,FALSE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",103,Female,49,21/04/1997,Financial Services,Affluent Customer,N,Yes,12
12/09/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,104,Female,40,06/06/1978,Health,Mass Customer,N,Yes,8
26/10/2017,FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,$57.74,105,Female,25,17/09/2001,Manufacturing,Mass Customer,N,No,11
15/02/2017,FALSE,Approved,Trek Bicycles,Standard,high,medium,495.72,$297.43,106,Male,54,03/07/1966,Health,High Net Worth,N,Yes,8
22/12/2017,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1555.58,$818.01,107,Female,97,01/07/1990,Financial Services,Mass Customer,N,Yes,12
11/10/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1992.93,$762.63,108,Female,4,14/03/1994,,High Net Worth,N,No,11
27/03/2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,1812.75,$582.48,109,Male,16,11/12/1978,,Affluent Customer,N,Yes,4
04/11/2017,FALSE,Approved,Solex,Standard,low,medium,945.04,$507.58,110,Male,23,31/07/2000,Financial Services,Affluent Customer,N,No,9
11/06/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,$56.93,111,Female,65,29/08/1993,,Mass Customer,N,No,1
09/10/2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,112,Female,88,12/08/1975,Retail,High Net Worth,N,No,8
07/06/2017,TRUE,Approved,Trek Bicycles,Standard,high,medium,358.39,$215.03,113,Male,67,06/05/1956,,Mass Customer,N,No,6
24/10/2017,TRUE,Approved,Giant Bicycles,Touring,medium,large,1873.97,$863.95,114,Female,10,23/10/1985,Entertainment,Affluent Customer,N,No,10
01/05/2017,FALSE,Approved,WeareA2B,Standard,low,medium,642.31,$513.85,115,Male,77,21/12/1981,Health,Mass Customer,N,No,7
21/11/2017,TRUE,Approved,Norco Bicycles,Standard,medium,medium,360.4,$270.30,116,Male,49,05/02/1999,Manufacturing,Affluent Customer,N,Yes,2
24/03/2017,FALSE,Approved,OHM Cycles,Road,medium,small,1810,"$1,610.90",117,Female,75,23/02/1982,Manufacturing,Mass Customer,N,No,9
21/03/2017,FALSE,Approved,Trek Bicycles,Standard,medium,small,1775.81,"$1,580.47",118,Male,43,12/11/1959,,High Net Worth,N,No,2
20/02/2017,FALSE,Approved,Trek Bicycles,Standard,medium,large,1469.44,$596.55,119,Male,9,04/12/1981,,High Net Worth,N,Yes,8
16/06/2017,FALSE,Approved,Trek Bicycles,Standard,high,medium,495.72,$297.43,120,Male,80,02/09/1978,Financial Services,High Net Worth,N,Yes,8
04/12/2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,121,Male,82,02/10/1957,Manufacturing,Mass Customer,N,No,10
01/12/2017,TRUE,Approved,Solex,Road,medium,large,1777.8,$820.78,122,Male,87,19/04/1979,Financial Services,Mass Customer,N,Yes,4
05/03/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,752.64,$205.36,123,Female,85,03/12/1988,Financial Services,High Net Worth,N,No,1
21/03/2017,FALSE,Approved,OHM Cycles,Standard,medium,medium,795.34,$101.58,124,Female,27,03/05/1995,Health,High Net Worth,N,Yes,5
03/01/2017,TRUE,Approved,Solex,Standard,medium,medium,575.27,$431.45,125,Female,94,17/03/1960,Property,Mass Customer,N,No,9
01/04/2017,FALSE,Approved,OHM Cycles,Standard,medium,medium,795.34,$101.58,126,Male,53,15/10/1992,Health,Mass Customer,N,Yes,7
16/03/2017,TRUE,Approved,Trek Bicycles,Road,medium,medium,290.62,$215.14,127,Female,81,03/12/1974,Financial Services,Mass Customer,N,No,3
26/02/2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,128,Male,73,17/07/1977,Property,Mass Customer,N,Yes,8
05/06/2017,FALSE,Approved,WeareA2B,Standard,medium,small,175.89,$131.92,129,Male,64,20/07/1985,Financial Services,High Net Worth,N,Yes,1
04/09/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76,130,Male,32,18/07/1997,Manufacturing,Mass Customer,N,No,11
18/01/2017,TRUE,Approved,WeareA2B,Road,low,small,1172.78,"$1,043.77",131,Female,57,16/10/1964,Retail,High Net Worth,N,No,6
28/09/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60,132,Female,5,07/07/1963,Manufacturing,Mass Customer,N,Yes,3
02/09/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1065.03,$230.09,133,Male,12,13/06/1977,Financial Services,Mass Customer,N,Yes,10
09/05/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,134,Female,34,01/08/1997,Telecommunications,Affluent Customer,N,Yes,9
17/10/2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,135,Female,18,18/01/1975,IT,Mass Customer,N,No,1
25/04/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1807.45,$778.69,136,Male,46,26/05/1973,Manufacturing,High Net Worth,N,Yes,9
23/09/2017,FALSE,Approved,,,,,1942.61,,137,Male,27,21/11/1987,Property,High Net Worth,N,No,11
02/08/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1065.03,$230.09,138,Male,5,28/04/1985,Financial Services,Affluent Customer,N,Yes,9
25/03/2017,FALSE,Cancelled,Giant Bicycles,Standard,high,medium,1179,$707.40,139,Male,1,28/07/1964,Telecommunications,Affluent Customer,N,No,6
01/01/2017,FALSE,Approved,Giant Bicycles,Standard,high,medium,1274.93,$764.96,140,Male,9,20/05/1994,Manufacturing,Mass Customer,N,No,3
22/12/2017,FALSE,Approved,Solex,Standard,medium,medium,1945.43,$333.18,141,Male,67,25/06/1954,Financial Services,High Net Worth,N,Yes,5
25/12/2017,FALSE,Approved,Solex,Standard,low,medium,1289.85,$74.51,142,Male,57,07/08/1967,Health,Affluent Customer,N,No,11
26/01/2017,TRUE,Approved,Giant Bicycles,Standard,high,small,1977.36,"$1,759.85",143,Male,19,01/09/1957,Argiculture,Mass Customer,N,Yes,11
20/12/2017,FALSE,Approved,WeareA2B,Touring,medium,large,1890.39,$260.14,144,U,71,,IT,Mass Customer,N,No,8
07/06/2017,TRUE,Approved,Trek Bicycles,Road,low,medium,980.37,$234.43,145,Male,33,21/07/1997,Financial Services,Mass Customer,N,No,7
06/04/2017,TRUE,Approved,Solex,Road,medium,medium,416.98,$312.74,146,Male,34,08/04/1985,Manufacturing,Mass Customer,N,No,7
25/04/2017,TRUE,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84,147,Female,32,06/12/1973,Health,Mass Customer,N,Yes,9
13/01/2017,FALSE,Approved,Trek Bicycles,Standard,medium,small,1386.84,"$1,234.29",148,Female,69,08/05/1981,,Mass Customer,N,Yes,12
21/03/2017,FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,$57.74,149,Female,41,31/01/1995,Health,Mass Customer,N,Yes,8
21/11/2017,TRUE,Approved,OHM Cycles,Road,medium,medium,742.54,$667.40,150,Male,6,23/08/1983,Financial Services,Affluent Customer,N,No,8
11/11/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,230.91,$173.18,151,Male,36,31/01/1965,Manufacturing,Mass Customer,N,Yes,10
16/10/2017,FALSE,Approved,WeareA2B,Standard,medium,small,1415.01,"$1,259.36",152,Female,5,03/03/1981,Financial Services,Mass Customer,N,No,11
19/08/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,153,Female,73,28/07/1977,Entertainment,Mass Customer,N,Yes,8
06/04/2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,154,Female,90,13/02/1958,,Mass Customer,N,No,6
04/11/2017,TRUE,Approved,Norco Bicycles,Mountain,low,small,688.63,$612.88,155,Male,4,28/12/1985,Manufacturing,Mass Customer,N,No,10
22/08/2017,TRUE,Approved,Solex,Standard,high,large,1842.92,"$1,105.75",156,Female,23,09/09/1979,Financial Services,Mass Customer,N,Yes,11
15/09/2017,TRUE,Approved,Solex,Standard,high,medium,748.17,$448.90,157,Male,97,23/11/1974,Financial Services,Affluent Customer,N,No,10
01/03/2017,TRUE,Approved,WeareA2B,Standard,medium,small,175.89,$131.92,158,Male,99,03/09/1984,,Affluent Customer,N,No,10
16/08/2017,FALSE,Approved,WeareA2B,Touring,medium,medium,1466.68,$363.25,159,Male,90,12/05/1987,Health,Affluent Customer,N,No,10
27/08/2017,FALSE,Approved,,,,,1656.86,,160,Male,5,15/07/1964,Health,Mass Customer,N,No,4
10/07/2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,161,Male,49,21/01/1976,,Mass Customer,N,No,10
11/12/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,162,Male,90,12/08/1979,IT,Mass Customer,N,No,4
20/05/2017,TRUE,Approved,OHM Cycles,Touring,low,medium,1073.07,$933.84,163,Female,58,06/09/1976,Entertainment,High Net Worth,N,Yes,6
30/07/2017,FALSE,Approved,Solex,Standard,high,medium,1024.66,$614.80,164,Female,55,07/08/1999,Retail,Affluent Customer,N,Yes,6
25/10/2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,165,Male,61,25/03/1984,Argiculture,Mass Customer,N,Yes,9
27/11/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,166,Male,54,12/06/1955,Manufacturing,Affluent Customer,N,No,8
26/04/2017,,Approved,Norco Bicycles,Standard,low,medium,363.01,$290.41,167,Female,95,27/10/1969,Health,High Net Worth,N,Yes,11
02/02/2017,FALSE,Approved,Giant Bicycles,Standard,high,medium,1179,$707.40,168,U,8,,IT,Affluent Customer,N,Yes,4
02/05/2017,FALSE,Approved,Solex,Standard,medium,large,202.62,$151.96,169,Male,20,19/10/1957,Telecommunications,High Net Worth,N,Yes,8
16/10/2017,,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73,170,Male,80,02/06/1975,Health,High Net Worth,N,No,9
22/10/2017,FALSE,Approved,Norco Bicycles,Road,medium,medium,1036.59,$206.35,171,Female,62,04/12/1970,Manufacturing,Mass Customer,N,No,11
11/04/2017,TRUE,Approved,Trek Bicycles,Road,medium,large,1894.19,$598.76,172,Male,54,12/09/1988,Manufacturing,Affluent Customer,N,Yes,8
16/11/2017,FALSE,Approved,Norco Bicycles,Road,medium,medium,1036.59,$206.35,173,Female,99,02/01/1997,Health,Affluent Customer,N,No,5
17/12/2017,FALSE,Approved,WeareA2B,Touring,medium,medium,1466.68,$363.25,174,Female,93,26/11/1989,Health,Mass Customer,N,No,7
23/12/2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,175,Male,36,28/11/1975,Manufacturing,Affluent Customer,N,No,9
30/03/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1228.07,$400.91,176,Male,39,13/04/1992,Property,Mass Customer,N,No,8
13/04/2017,FALSE,Approved,Norco Bicycles,Standard,low,medium,363.01,$290.41,177,Female,25,09/11/1989,Financial Services,High Net Worth,N,No,1
25/07/2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86,$137.90,178,Male,2,03/04/1967,,Affluent Customer,N,No,4
31/01/2017,FALSE,Approved,Solex,Standard,medium,medium,478.16,$298.72,179,Male,23,11/05/1966,Manufacturing,High Net Worth,N,Yes,10
18/03/2017,TRUE,Approved,Trek Bicycles,Standard,medium,small,1775.81,"$1,580.47",180,Female,16,17/09/1971,Argiculture,Affluent Customer,N,No,1
24/02/2017,FALSE,Approved,Solex,Standard,high,medium,1024.66,$614.80,181,Female,49,21/11/1982,Manufacturing,Mass Customer,N,No,5
18/02/2017,FALSE,Approved,Norco Bicycles,Standard,high,small,1661.92,"$1,479.11",182,Male,99,20/11/1992,Financial Services,Affluent Customer,N,Yes,7
07/01/2017,FALSE,Approved,Solex,Standard,low,medium,1289.85,$74.51,183,Female,7,05/08/1997,Retail,Affluent Customer,N,No,10
