Age,Gender,Item Purchased,Category,Purchase Amount (USD),Season,Review Rating,Subscription Status,Promo Code Used,Previous Purchases,Frequency of Purchases
66,1,17,3,24,0,4.5,1,1,24,4
36,1,9,3,22,2,3.3,1,1,46,2
58,1,2,0,82,2,4.3,1,1,42,3
45,1,22,3,67,3,2.5,1,1,10,4
47,1,7,0,74,0,2.6,1,1,1,3
66,1,17,3,72,1,4.9,1,1,28,3
41,1,5,2,36,1,4.7,1,1,48,3
41,1,23,3,95,3,3.0,1,1,47,2
66,1,16,0,78,3,3.5,1,1,29,1
37,1,6,0,82,1,4.8,1,1,37,3
70,1,14,0,70,3,4.3,1,1,38,4
62,1,19,3,41,2,3.2,1,1,48,0
61,1,8,1,42,1,3.1,1,1,36,0
48,1,8,1,50,2,2.8,1,1,9,0
70,1,21,0,31,1,2.9,1,1,34,2
46,1,2,0,51,3,3.7,1,1,43,1
31,1,6,0,98,2,3.3,1,1,46,3
19,1,6,0,86,3,2.8,1,1,5,2
39,1,2,0,64,3,4.5,1,1,15,1
41,1,1,0,46,2,2.6,1,1,30,4
20,1,2,0,85,0,3.7,1,1,44,3
36,1,20,3,81,2,4.4,1,1,16,4
32,1,2,0,59,3,4.3,1,1,16,4
69,1,16,0,79,3,3.5,1,1,16,0
40,1,7,0,33,0,3.8,1,1,21,3
40,1,7,0,47,1,3.5,1,1,39,3
20,1,20,3,20,1,4.6,1,1,40,1
64,1,8,1,36,0,2.6,1,1,48,3
27,1,4,2,39,1,4.4,1,1,26,2
24,1,12,0,71,3,4.0,1,1,46,2
48,1,10,2,59,3,4.4,1,1,27,4
49,1,3,0,50,0,4.7,1,1,5,0
36,1,4,2,41,2,3.9,1,1,43,1
56,1,1,0,59,2,2.7,1,1,17,1
37,1,20,3,87,3,3.7,1,1,3,1
42,1,2,0,68,0,2.6,1,1,47,1
28,1,12,0,90,3,3.9,1,1,24,1
27,1,3,0,71,2,4.9,1,1,12,3
63,1,5,2,64,2,4.1,1,1,35,2
58,1,17,3,76,2,3.0,1,1,42,0
37,1,17,3,42,2,4.1,1,1,1,3
56,1,14,0,80,0,3.8,1,1,27,0
18,1,23,3,56,0,4.0,1,1,16,1
48,1,20,3,25,1,3.6,1,1,36,3
31,1,5,2,74,3,3.0,1,1,30,3
51,1,14,0,30,1,3.0,1,1,18,1
65,1,18,0,96,0,2.6,1,1,45,4
53,1,5,2,64,2,3.4,1,1,1,1
55,1,7,0,88,3,3.1,1,1,42,1
62,1,10,2,88,1,3.0,1,1,7,3
55,1,25,3,88,1,3.7,1,1,50,3
64,1,21,0,36,0,3.5,1,1,37,1
52,1,11,0,40,0,2.8,1,1,18,2
24,1,9,3,39,0,4.5,1,1,29,2
38,1,23,3,40,1,3.3,1,1,45,3
59,1,19,3,34,3,3.4,1,1,13,0
27,1,5,2,83,3,3.2,1,1,47,2
24,1,2,0,85,1,3.7,1,1,7,0
23,1,8,1,27,1,4.6,1,1,11,1
69,1,17,3,78,0,5.0,1,1,39,2
59,1,13,3,32,1,4.4,1,1,6,3
51,1,10,2,51,2,4.9,1,1,2,1
63,1,19,3,32,0,4.1,1,1,39,3
54,1,11,0,62,3,4.9,1,1,23,2
32,1,18,0,29,2,4.7,1,1,46,1
39,1,22,3,69,2,3.0,1,1,19,0
66,1,17,3,25,3,3.4,1,1,3,3
28,1,3,0,76,3,3.2,1,1,47,3
50,1,13,3,77,2,2.9,1,1,6,3
70,1,2,0,33,2,4.5,1,1,6,4
67,1,7,0,93,2,2.7,1,1,12,1
64,1,17,3,39,0,3.4,1,1,40,3
45,1,8,1,93,1,4.6,1,1,38,1
22,1,9,3,82,1,2.7,1,1,10,3
27,1,24,2,42,0,4.2,1,1,28,2
25,1,25,3,71,3,3.2,1,1,19,4
37,1,2,0,86,0,4.8,1,1,25,1
26,1,18,0,82,0,3.3,1,1,38,4
33,1,10,2,65,2,4.2,1,1,6,1
43,1,19,3,29,0,4.8,1,1,7,1
37,1,5,2,65,3,4.9,1,1,2,4
46,1,11,0,88,2,3.9,1,1,24,4
22,1,23,3,46,2,3.0,1,1,26,4
20,1,24,2,67,3,4.6,1,1,25,3
60,1,19,3,35,2,3.5,1,1,10,2
39,1,24,2,66,3,4.8,1,1,14,1
43,1,18,0,91,2,4.8,1,1,21,3
31,1,22,3,78,2,3.0,1,1,26,2
19,1,5,2,45,3,4.5,1,1,12,4
35,1,18,0,93,0,4.8,1,1,11,2
41,1,3,0,74,1,3.8,1,1,15,4
52,1,25,3,55,0,4.6,1,1,13,2
45,1,16,0,76,0,3.1,1,1,5,1
34,1,5,2,66,0,3.4,1,1,36,1
35,1,7,0,51,3,3.3,1,1,32,2
29,1,2,0,26,0,4.8,1,1,1,3
59,1,3,0,29,1,2.8,1,1,15,4
24,1,15,1,74,1,3.1,1,1,3,0
70,1,17,3,99,1,4.6,1,1,48,2
29,1,22,3,88,3,2.6,1,1,30,0
67,1,8,1,31,3,2.6,1,1,40,2
36,1,23,3,55,0,3.8,1,1,24,1
23,1,4,2,81,2,4.5,1,1,48,3
18,1,2,0,73,0,3.0,1,1,27,1
53,1,7,0,91,3,3.5,1,1,14,3
32,1,21,0,54,0,3.8,1,1,18,1
38,1,6,0,40,3,3.5,1,1,48,1
47,1,14,0,59,2,3.1,1,1,32,4
46,1,19,3,26,0,3.0,1,1,21,1
66,1,2,0,23,3,4.3,1,1,42,1
40,1,3,0,87,3,3.3,1,1,4,3
43,1,14,0,71,3,4.7,1,1,19,3
58,1,22,3,91,3,4.5,1,1,6,3
21,1,8,1,64,3,2.9,1,1,2,1
42,1,4,2,94,3,4.1,1,1,21,1
24,1,6,0,40,1,3.5,1,1,40,4
43,1,20,3,76,3,3.4,1,1,33,1
47,1,6,0,86,2,3.3,1,1,26,0
49,1,12,0,92,2,3.2,1,1,23,1
50,1,10,2,52,0,4.0,1,1,39,3
51,1,8,1,28,3,3.6,1,1,42,2
40,1,14,0,46,1,4.6,1,1,41,0
45,1,17,3,50,1,2.6,1,1,41,4
52,1,23,3,23,3,4.3,1,1,12,1
62,1,15,1,50,1,3.4,1,1,31,2
20,1,6,0,89,3,3.5,1,1,34,1
43,1,16,0,81,3,4.2,1,1,32,4
29,1,13,3,69,2,3.5,1,1,31,3
22,1,13,3,67,1,3.6,1,1,24,4
48,1,11,0,20,1,4.3,1,1,31,4
42,1,24,2,29,2,4.9,1,1,18,4
19,1,6,0,74,1,4.1,1,1,15,2
60,1,7,0,82,0,3.6,1,1,7,3
32,1,25,3,23,1,3.4,1,1,35,1
26,1,17,3,45,1,2.9,1,1,35,2
25,1,24,2,21,1,2.7,1,1,19,2
66,1,17,3,31,1,4.3,1,1,26,1
45,1,14,0,45,1,3.3,1,1,39,1
54,1,17,3,56,3,2.8,1,1,22,0
37,1,15,1,97,1,3.2,1,1,14,1
54,1,1,0,100,2,3.6,1,1,50,1
50,1,1,0,96,2,4.0,1,1,33,3
25,1,25,3,99,0,4.9,1,1,48,3
47,1,7,0,91,3,4.0,1,1,48,2
63,1,20,3,30,3,3.8,1,1,27,1
64,1,10,2,65,1,3.7,1,1,27,0
18,1,24,2,93,3,3.9,1,1,20,0
59,1,15,1,81,2,3.3,1,1,48,3
37,1,17,3,81,1,2.7,1,1,29,0
23,1,13,3,52,3,4.7,1,1,45,2
54,1,12,0,88,1,2.8,1,1,25,3
38,1,3,0,24,3,4.6,1,1,25,0
19,1,22,3,51,0,4.5,1,1,37,3
34,1,22,3,38,2,5.0,1,1,16,3
21,1,7,0,46,2,4.1,1,1,30,1
50,1,11,0,63,1,4.6,1,1,6,3
55,1,19,3,72,3,4.9,1,1,36,3
20,1,3,0,39,3,3.9,1,1,3,3
34,1,8,1,42,0,3.9,1,1,29,3
62,1,2,0,76,1,2.6,1,1,15,3
21,1,5,2,66,1,2.7,1,1,18,4
21,1,19,3,90,0,3.5,1,1,2,1
42,1,2,0,56,1,3.7,1,1,49,0
35,1,17,3,43,3,3.2,1,1,48,4
39,1,9,3,84,3,3.3,1,1,43,2
68,1,16,0,88,1,4.8,1,1,30,1
46,1,20,3,88,2,3.2,1,1,10,1
41,1,23,3,42,3,2.5,1,1,11,4
23,1,16,0,73,2,3.9,1,1,12,0
68,1,20,3,73,1,4.7,1,1,28,3
48,1,10,2,44,0,2.6,1,1,36,1
38,1,4,2,63,2,2.8,1,1,37,3
41,1,15,1,68,3,4.4,1,1,22,3
58,1,2,0,29,0,4.6,1,1,32,0
49,1,21,0,85,1,3.2,1,1,40,4
57,1,5,2,42,3,4.2,1,1,47,2
49,1,8,1,69,1,3.7,1,1,24,1
50,1,6,0,62,2,3.9,1,1,11,0
28,1,22,3,48,1,4.7,1,1,19,1
38,1,24,2,68,3,4.5,1,1,42,0
33,1,9,3,36,2,3.3,1,1,6,1
30,1,11,0,63,2,3.3,1,1,31,1
43,1,5,2,39,3,4.6,1,1,31,0
43,1,24,2,78,0,3.6,1,1,27,2
36,1,10,2,99,3,4.8,1,1,24,2
36,1,18,0,31,2,4.8,1,1,35,3
64,1,24,2,45,0,2.9,1,1,21,4
59,1,14,0,30,2,2.8,1,1,8,1
55,1,10,2,24,1,3.2,1,1,26,3
42,1,10,2,22,3,3.9,1,1,26,4
61,1,18,0,63,0,4.3,1,1,9,1
28,1,19,3,40,2,2.7,1,1,48,4
65,1,7,0,20,0,5.0,1,1,33,1
27,1,17,3,20,3,3.7,1,1,31,3
41,1,18,0,80,1,3.9,1,1,17,0
21,1,6,0,87,2,3.9,1,1,22,4
61,1,6,0,46,2,3.1,1,1,8,4
19,1,25,3,49,3,3.3,1,1,2,2
22,1,19,3,65,2,3.6,1,1,45,4
64,1,12,0,62,3,4.3,1,1,47,3
28,1,20,3,67,0,4.5,1,1,7,2
34,1,16,0,41,2,2.8,1,1,19,1
61,1,24,2,49,2,2.7,1,1,44,3
24,1,1,0,100,2,2.9,1,1,16,3
19,1,23,3,54,1,4.4,1,1,17,3
51,1,13,3,84,0,3.9,1,1,20,3
36,1,7,0,41,3,3.5,1,1,50,4
65,1,25,3,88,0,2.5,1,1,37,3
46,1,4,2,40,0,4.9,1,1,5,3
59,1,6,0,39,1,4.8,1,1,44,4
51,1,8,1,37,0,3.2,1,1,41,2
51,1,14,0,52,3,4.9,1,1,19,2
21,1,18,0,23,3,4.3,1,1,47,3
34,1,5,2,88,3,3.2,1,1,40,4
32,1,7,0,84,2,3.7,1,1,6,2
48,1,8,1,37,3,3.2,1,1,25,1
50,1,4,2,51,2,3.4,1,1,42,0
26,1,14,0,76,3,4.1,1,1,35,3
57,1,4,2,60,0,4.5,1,1,17,0
65,1,25,3,72,2,4.5,1,1,4,3
56,1,18,0,45,0,3.2,1,1,24,0
44,1,15,1,84,2,4.4,1,1,16,3
50,1,1,0,49,1,3.0,1,1,14,4
27,1,21,0,22,0,3.2,1,1,43,0
49,1,8,1,48,3,4.0,1,1,49,0
49,1,11,0,37,0,3.1,1,1,33,3
52,1,15,1,27,2,2.8,1,1,45,1
27,1,24,2,79,0,4.6,1,1,35,1
53,1,12,0,98,0,4.3,1,1,11,2
34,1,4,2,64,1,3.3,1,1,30,3
33,1,8,1,32,1,3.5,1,1,48,4
62,1,16,0,74,3,3.4,1,1,45,1
38,1,15,1,50,3,2.8,1,1,26,0
36,1,22,3,64,3,4.6,1,1,41,3
31,1,22,3,29,2,3.6,1,1,37,1
62,1,23,3,62,1,3.3,1,1,12,0
29,1,8,1,78,2,3.1,1,1,27,1
24,1,18,0,94,2,3.5,1,1,18,0
63,1,13,3,59,3,3.2,1,1,15,3
56,1,5,2,47,1,3.0,1,1,34,0
63,1,25,3,57,2,4.8,1,1,37,4
40,1,8,1,90,3,5.0,1,1,21,1
18,1,6,0,60,0,2.9,1,1,31,0
50,1,5,2,77,2,3.2,1,1,43,3
66,1,19,3,41,2,2.9,1,1,22,2
25,1,17,3,48,2,3.3,1,1,12,4
65,1,15,1,65,2,2.6,1,1,25,1
53,1,3,0,62,1,3.5,1,1,40,4
61,1,10,2,99,2,4.4,1,1,16,3
67,1,16,0,58,3,3.4,1,1,30,0
59,1,22,3,43,2,4.2,1,1,10,0
55,1,5,2,93,0,3.6,1,1,1,1
21,1,1,0,50,3,3.0,1,1,24,1
44,1,14,0,88,1,4.0,1,1,36,2
65,1,12,0,33,2,4.4,1,1,46,3
65,1,18,0,99,2,4.1,1,1,20,4
54,1,15,1,76,0,3.6,1,1,37,0
56,1,19,3,97,1,4.6,1,1,26,4
58,1,14,0,68,1,3.2,1,1,23,1
54,1,5,2,79,2,4.8,1,1,20,1
58,1,3,0,86,2,4.8,1,1,38,2
48,1,20,3,68,3,5.0,1,1,5,3
